Brand,PartNo,Company Code,Description,Unit,HSN,Rate,GST,MRP,Packing Size,Standard Packing,Segment,VehicleBrand,Model
Demo Group1,1001,,Description demo here,Pcs,84835090,123,18%,236,1,,LCV,TATA,ACE
Demo Group1,1002,,Description demo here,Pcs,84835090,124,18%,237,1,,CAR,TATA,INDICA
Demo Group1,1003,,Description demo here,Pcs,84835090,125,18%,238,1,,HCV,TATA,407
Demo Group1,1004,,Description demo here,Pcs,84835090,126,18%,239,1,,HCV,TATA,1613 TURBO
Demo Group1,1005,,Description demo here,Pcs,84835090,127,18%,240,1,,HCV,TATA,1109
Demo Group1,1006,,Description demo here,Pcs,84835090,128,18%,241,1,,HCV,TATA,1109 BS6
Demo Group1,1007,,Description demo here,Pcs,84835090,129,18%,242,1,,HCV,TATA,"2515, HYVA, GB60"
Demo Group1,1008,,Description demo here,Pcs,84835090,130,18%,243,1,,HCV,TATA,"2518, 3118"
Demo Group1,1009,,Description demo here,Pcs,84835090,131,18%,244,1,,HCV,TATA,"BUS, 2515, 1512, 1616"
Demo Group1,1010,,Description demo here,Pcs,84835090,132,18%,245,1,,HCV,TATA,EURO-4 1616
Demo Group1,1011,,Description demo here,Pcs,84835090,133,18%,246,1,,HCV,TATA,2515EX O/M GB60
Demo Group1,1012,,Description demo here,Pcs,84835090,134,18%,247,1,,HCV,TATA,2515EX N/M GB60
Demo Group1,1013,,Description demo here,Pcs,84835090,135,18%,248,1,,HCV,TATA,"1613, 3118"
Demo Group1,1014,,Description demo here,Pcs,84835090,136,18%,249,1,,HCV,TATA,"1613, 3118, 3718 N/M, GB75"
Demo Group1,1015,,Description demo here,Pcs,84835090,137,18%,250,1,,HCV,TATA,NOVUS
Demo Group1,1016,,Description demo here,Pcs,84835090,138,18%,251,1,,HCV,TATA,1613TC O/M
Demo Group1,1017,,Description demo here,Pcs,84835090,139,18%,252,1,,HCV,TATA,1613TC
Demo Group1,1018,,Description demo here,Pcs,84835090,140,18%,253,1,,HCV,TATA,"430DI, PRIMA, SIGNA"
Demo Group1,1019,,Description demo here,Pcs,84835090,141,18%,254,1,,HCV,TATA,"1612, 1312, 1210"
Demo Group1,1020,,Description demo here,Pcs,84835090,142,18%,255,1,,LCV,TATA,407 BS4
Demo Group1,1021,,Description demo here,Pcs,84835090,143,18%,256,1,,HCV,TATA,1613 CNG BUS
Demo Group1,1022,,Description demo here,Pcs,84835090,144,18%,257,1,,HCV,TATA,"1613, 1616"
Demo Group1,1023,,Description demo here,Pcs,84835090,145,18%,258,1,,HCV,TATA,"3118, 3718, 4018, 2523"
Demo Group1,1024,,Description demo here,Pcs,84835090,146,18%,259,1,,LCV,TATA,SUPER ACE
Demo Group1,1025,,Description demo here,Pcs,84835090,147,18%,260,1,,CAR,TATA,"207DI, SPECIO"
Demo Group1,1026,,Description demo here,Pcs,84835090,148,18%,261,1,,HCV,TATA,1613 BS6
Demo Group1,1027,,Description demo here,Pcs,84835090,149,18%,262,1,,HCV,TATA,1613 BS5
Demo Group1,1028,,Description demo here,Pcs,84835090,150,18%,263,1,,HCV,TATA,BUS 1613 GB60
Demo Group1,1029,,Description demo here,Pcs,84835090,151,18%,264,1,,HCV,TATA,ULTRA 1518
Demo Group1,1030,,Description demo here,Pcs,84835090,152,18%,265,1,,HCV,TATA,ULTRA 1518 BS6
Demo Group1,1031,,Description demo here,Pcs,84835090,153,18%,266,1,,HCV,TATA,"407, 709LPT"
Demo Group1,1032,,Description demo here,Pcs,84835090,154,18%,267,1,,HCV,TATA,2518 BS6
Demo Group1,1033,,Description demo here,Pcs,84835090,155,18%,268,1,,"HCV, LCV ",TATA,ULTRA BS6
Demo Group1,1034,,Description demo here,Pcs,84835090,156,18%,269,1,,HCV,AMW,AMW BS2
Demo Group1,1035,,Description demo here,Pcs,84835090,157,18%,270,1,,HCV,AMW,AMW BS3
Demo Group1,1036,,Description demo here,Pcs,84835090,158,18%,271,1,,HCV,AMW,AMW BS4
Demo Group1,1037,,Description demo here,Pcs,84835090,159,18%,272,1,,TRACTOR,SWARAJ,SWARAJ TRACTORS
Demo Group1,1038,,Description demo here,Pcs,84835090,160,18%,273,1,,HCV,AMW,AMW
Demo Group1,1039,,Description demo here,Pcs,84835090,161,18%,274,1,,HCV,AMW,AMW BS6
Demo Group1,1040,,Description demo here,Pcs,84835090,162,18%,275,1,,HCV,ASHOK LEYLAND,2214 HINO
Demo Group1,1041,,Description demo here,Pcs,84835090,163,18%,276,1,,HCV,ASHOK LEYLAND,"4018, 3118, HYVA"
Demo Group1,1042,,Description demo here,Pcs,84835090,164,18%,277,1,,LCV,ASHOK LEYLAND,CARGO ECOMET
Demo Group1,1043,,Description demo here,Pcs,84835090,165,18%,278,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group1,1044,,Description demo here,Pcs,84835090,166,18%,279,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group1,1045,,Description demo here,Pcs,84835090,167,18%,280,1,,HCV,ASHOK LEYLAND,HINO
Demo Group1,1046,,Description demo here,Pcs,84835090,168,18%,281,1,,LCV,ASHOK LEYLAND,DOST
Demo Group1,1047,,Description demo here,Pcs,84835090,169,18%,282,1,,HCV,ASHOK LEYLAND,STALLION
Demo Group1,1048,,Description demo here,Pcs,84835090,170,18%,283,1,,HCV,ASHOK LEYLAND,"ECOMET, HINO"
Demo Group1,1049,,Description demo here,Pcs,84835090,171,18%,284,1,,HCV,MAHINDRA,NAVISTAR
Demo Group1,1050,,Description demo here,Pcs,84835090,172,18%,285,1,,HCV,ASHOK LEYLAND,"ECOMET, HINO"
Demo Group1,1051,,Description demo here,Pcs,84835090,173,18%,286,1,,CAR,ASHOK LEYLAND,ASHOK LEYLAND
Demo Group1,1052,,Description demo here,Pcs,84835090,174,18%,287,1,,HCV,ASHOK LEYLAND,BS6
Demo Group1,1053,,Description demo here,Pcs,84835090,175,18%,288,1,,LCV,ASHOK LEYLAND,DOST PLUS
